Nama Pengguna,Rating,Waktu,Komentar
Novan Haerudin Arifin,5.0,setahun lalu,AFTER MATCH KAMI BIRU 💙  Kami tetap di sini Apa pun yang 'kan terjadi Persib selalu di hati Persib jiwa raga kami  Kemenanganmu Kekalahanmu Takkan merubah Warna kami  Biru di hatiku Biru di jiwaku Biru di hatiku Kami mendukungmu  Jangan Terlalu Emosional Apa pun yang terjadi Semangat kami takkan mati Raihlah kemenanganmu Doa kami bersamamu  Biru di hatiku Biru di jiwaku Biru di hatiku Kami mendukungmu
Piki cihuy,4.0,11 bulan lalu,"Aksen jalan ke lokasi mudah, namun ada beberapa ruas jalan menyempit. Parkiran di area stadion termasuk luas, namun di sayangkan belum ada rambu-rambu yang memadai. Sehingga ketika waktu bubaran sering terjadia antrian panjang, bisa di contoh JIExpo untuk tata kelola perparkiran nya. Fasilitas umum seperti toilet terhitung cukup bersih dan tersebar di beberapa titik. Namun kualitas sinyal sangat kurang ketika berada di dalam stadion, entah sengaja terpasang jammer atau memang blank spot untuk sinyal selular. Selain itu masih banyak titik-titik kebocoran di atap stadion."
Nurjanah Sofyan,5.0,6 bulan lalu,"Stadion Lapang sepakbola GBLA jdi icon para pemain club persib, lapang nya luas bersih bagus"
Annisa Firna Trisnaeni,5.0,2 bulan lalu,"pertama kali nyetadion emang seru bgtt vibesnya beda sama liat di hp/tv, tapi pliss ini minusnya GBLA menurutku itu d WC nyaa, kurang WC dan kotor bangett WC nya, mohon segera di tambah WC dan di perbaiki yaa"
Intan Nurmala,4.0,setahun lalu,"Kesini hanya untuk track sepeda dan lari. Bukan nonton bola krn ga suka. Jd mau review luarnya aja ya.  Pros: dikelilingi sawah, pemandangan bagus, bisa melihat beberapa gunung yang memagari bandung. Udara segar.  Saran: trotoar sepanjang jalan menuju gbla tolong nya dibersihkan rutin dari rumput tinggi dong. Sangat berguna bagi kenyamanan para pejalan kaki. Padahal udah bagus dan ga ada yang jualan di atasnya. Intinya ini fasilitas bagus tapi sayang ga dirawat."
Jaenudin 13,5.0,5 bulan lalu,Madep pokok na mah markas king Persib
Yunus Djatnika,4.0,11 bulan lalu,"tempat parkir kurang terawat, banyak rumput yang tinggi tinggi, toilet kurang bagus, sisanya oke lah"
Yuli Suryani,5.0,2 tahun lalu,"GBLA sekarang makin bagus, makin ketat juga. Ya, meskipun saya belum pernah masuk ke dalam, sih. Tapi dilihat dari luar aja, udah bagus banget. Saya ke sini kalau lagi main aja lihat-lihat yang lagi olahraga atau belanja pas hari Minggu suka ada pasar. Jalannya mulus, walaupun kalau malam hari, jalan ke arah Masjid Aljabar gelap, lampunya mungkin bisa ditambahin."
Muhamad Gunarsah,3.0,5 bulan lalu,"Nyoba ke sini untuk pertama kalinya di hari minggu, ternyata padatnya melebihi dugaan, penuh lautan manusia, dan suhu udaranya panas sekali waktu itu padahal baru jam 9 pagi.  Yang lebih bikin ga nyaman lagi karena banyak pengamen dan pengemis, belum yang minta sumbangan.  Lagi jajan di kaki lima disamperin pengamen, lagi duduk nongkrong di samping stadion disamperin yang minta sumbangan, pokoknya selalu ada yang nyamperin di manapun kita berada.  Kapok ke sini lagi. Cukup sekali aja. Masih jauh lebih nyaman di Sport Jabar Arcamanik."
Arya Batara,5.0,2 bulan lalu,Tempat yg enak buat olah raga
Unang Khan,5.0,7 bulan lalu,Mantapp tiket murah. Bisa nonton persib Jajan di dalam termasuk murah. Dari tempat wisata pada umumnya
Toto Toto,5.0,3 bulan lalu,"Stadionnya megah, fasilitas kamar mandinya bagus, parkiran nya luas. Kalo abis nonton Persib pasti makan baso pikulan dulu, pokoknya juara GBLA"
Yopi Nurhayati,4.0,6 tahun lalu,"Dari jauh nampak cantik, dari dekat terlihat sangat bobrok dan berantakan, sangat kurang terawat. Sangat disayangkan, padahal sejujurnya kalau terawat ini pasti sangat bagus, tempatnya sangat luas. Kondisi di dalam stadion cukup memprihatinkan, seperti bangunan kosong yang lama tidak dihuni, fasilitas banyak yang rusak, toilet-wastafel banyak yang tidak berfungsi, sangat kotor, kursi-kursi penonton kotor, bikin enggan untuk duduk, dan sampah di mana-mana, merata di setiap sudut-ruangan pasti ada sampahnya. Tentunya tidak bisa sembarangan masuk ke sini, tapi tadi saya lihat ada kerbau yang sedang diangon di lahan parkir yang ditumbuhi rumput liar yang sudah sangat lebat. Entah bagaimana mereka bisa masuk. Kalau hari biasa/weekday biasanya sepi, paling ada beberapa yang bersepeda, belajar mengemudi, joging, anak sekolah mabal, dan PKL makanan-minuman yang berjualan di seberang stadion. Biasanya setiap hari minggu ada pasar tumpah di luar stadion, sangat ramai! Yang dijual macam-macam, mulai dari kebutuhan rumah tangga, sandang, pangan-kuliner nusantara ala street food, odong-odong dan kereta mainan yang juga bisa dinaiki orang dewasa, perlengkapan sepeda, pokoknya aneka jualan kaki lima, komplit deh di pasar tumpah GBLA Hari Minggu. Pagi hari ada senam bersama, terkadang zumba. Banyak yang bersepeda dan lari pagi, sekalian menikmati kuliner pagi. Akses ke sini cukup mudah, tapi tidak ada kendaraan umum yang lewat sini, jalannya masih sepi dan sering dipakai untuk belajar mengemudi. Nampak sedang banyak pembangunan sekitar sini, salah satunya Mesjid Al Jabbar."
Daita Hamdani,5.0,setahun lalu,"Stadion di Gedebage Kota bandung Kapasitas sangat besar , dan sekarang proses masuk keluarnya penonton sangat terstruktur aman dibanding jaman dulu yang gampang rusuh, evaluasi di pengecekan juga meminimalisir barang barang yang dilarang masuk , parkir juga sekarang aman ada beberapa pos polisi disekitar gbla"
Muhammad Rifki,5.0,7 bulan lalu,"Bagus, cuma butuh perawatan ekstra aja dari pihak terkait."
Assyifa Putri,5.0,3 tahun lalu,"Luassss bangettt tempatnya... Disini bisa dipakai untuk olahraga juga diluar stadion nya... Di depan stadion banyak warung-warung jajanan dan makanan... Biasanya kalo hari minggu di luar stadion suka ada pasar minggu, jadi penuhhh sama tenda dagangan👌🏻"
Deep Villages,5.0,4 bulan lalu,"stadion yang megah, ramah buat keluarga, mantaps"
Sandra Mestrifani,1.0,4 bulan lalu,Jangan pernah parkir di daerah gerbang merah. Banyak maling nya. Sering kejadian disitu. Tadi (kemarin malam beres pertandingan persib lawan bhayangkara 21-12-2025 ada yg kehilangan motor beat putih plat Z5420GW. di parkiran gerbang merah. Kasian korbannya orang garut.
Traveling By Nina,5.0,6 bulan lalu,"📍 Stadion Gelora Bandung Lautan Api – Bandung 🔵⚪  Wahhh pengalaman nonton langsung Persib vs Selangor bener-bener luar biasa! 🔥⚽ Suasana stadionnya megah banget, sorakan bobotoh bikin merinding 😍💙 Cahaya lampu stadion + teriakan semangat = vibes-nya 🔥 stadium fever unlocked!  Dari awal masuk udah berasa atmosfer pertandingan besar 💥 Langit malam Bandung + semangat penonton = kombinasi yang sempurna 🌙✨ Pokoknya kalau kamu traveler pecinta bola, wajib banget cobain nonton langsung di sini! 🎟️💫  🎧 Tips: Datang lebih awal biar dapet spot terbaik dan nikmatin atmosfernya dari awal 🎉 🧃 Jangan lupa beli minuman dingin biar nggak kehausan pas seru-seruan 😆  💙 “Hatur nuhun, Bandung! Energi dan euforianya susah dilupain!” 💙"
Santi Suryati,5.0,setahun lalu,"Tempat nyaman buat olah raga setiap pagi , kalo hari Minggu banyak pedagang , bnyk pengunjung , banyak bus yg lalulalang menuju mesjid Terapung AL Jabar"
Andri,5.0,2 bulan lalu,Sangat mudah untuk digunakan sebagai bahan cerita
Denie Heriyadi,4.0,Diedit setahun lalu,"Stadion GBLA merupakan stadion yang belum terlalu lama diresmikan, lingkungan termasuk ideal untuk lapangan bola dengan halaman yang luas.  Lokasi cukup strategis dengan aksesibilitas yang cukup baik dan mudah dicapai, namun saat hari minggu cukup ramai, apalagi saat Persib berlaga, hampir dipastikan lingkungan akan sangat padat & macet.  Kunjungan terakhir hari minggu, Tanggal 23 Juni 2024."
Muhammad Ariel Rizaldi,5.0,Diedit 2 tahun lalu,"Stadion kebanggan warga bandung, aksesnya bisa di tempuh melalui transportasi umum kereta berhenti di stasiun cimekar, kalo pake mobil siap siap aja macet karena jalan kecil, stadion yang kini jadi homebase nya persib bandung, selalu menyempatkan hadir ketika persib berlaga disini, tapi sayang harga tiket yang terbilang lumayan tinggi berbanding terbalik dengan fasilitas yang tak kunjung di perbaiki dan selalu diabaikanvseperti urioir yang tidak ada airnya, keran wastafel yang hanya nyala 1 airnya dan airnya pun asin jiga cas sawah, koridor stadion gelap dan kotor jiga keur miluan uji nyali, semoga management cepat memperbaikinya"
cisuka shop,5.0,3 tahun lalu,"PASAR TUMPAH di GBLA ada pada hari sabtu juga. Lengkap ya disini, ada sayur mayur, buah, aneka kuliner & fashion. Disarankan bawa payung kalau ke sini siang. Biar g panas.  SENAM. Ada hari sabtu dan minggu mulai dari jam 06.00. Biasanya suka ada 2 kelompok senam. Ada di Gerbang Biru & sisi lain GBLA. Tua Muda Ibu Bapak anak2 suka pads ikut ko. Suka dikasib air mineral gelas jg.  SEWA RAKET. Disewakan setiap hari Minggu . Hanya 10rb sepasang + kok. Waktu sepuasnya.  KULINER RECOMEND . Ketan Bakar satu2nya nih, daerah gerbang biru yg ke arah Masjid terapung. 10rb dapat 4pcs trmasuk sambel oncom n serundeng.  PUKIS LEGEND yg fotonya ada disini yg terhalang mobil. Empuk bgt. Klo beli minggu ANTRI. Beli sabtu aja. Ada rasa keju coklat n kismis. 5rb dpt 3pcs  PECEL BANYUMAS & LONTONG KARI GBLA. Posisi sebelahan. Enak bgt. Pecel +lontong 12rb. Gorengan raksasa enak jg 4rb. Lontong ckup mahal tp enak bgt.  TOILET. di Masjid perumahan. Setelah tahu h ateng , yg sebrang gerbang biru ada jembatan.  ATM. adanga ATM BNI . Jalan nya ke masjid terapung belok kiri.  TAMAN KAULINAN. Salah 1 destinasi wisata org luar Bdg. Yg anaknya mulai bosen main aja ke playground sini. Posisi jembatan yg ada Tahu H ateng"
Fizar Maulana,5.0,9 bulan lalu,"Semalem saya ke sini sambil pengen nonton persib bandung, udaranya segar, banyak jajan kaki lima dan murah meriah"
Eko Prasetyo,4.0,7 bulan lalu,Banyak fasilitas yang harus di perbaiki
latif alfian,5.0,5 bulan lalu,Home base persib Bandung💙 Foto diambil ketika persib melawan borneo 051225 Remontada 3-1
Hidaar,5.0,3 tahun lalu,"Kalau kesini biasanya buat pergi ke GBLA Sunday Market, atau sunmori gtu.. Ada tiap hari minggu pagi sampai siang.. Yang jualan bener2 banyakkkkkkk, dimulai dari Gerbang Merah paling Timur kemudian merambat ke Barat kekanan ke Gerbang Biru, ke kiri sampai tol ada, ga sampai disana, dari tol masih terus ke timur lagi ratusan tenda jualan terpajang.. Ada berbagai jenis kebutuhan dijual, seperti pakaian, makanan, mainan anak, alas kaki, dll.. Ke GBLA bisa olahraga sambil belanja n wisata kuliner.. Bisa bawa alat olahraga sendiri seperti bola atau bulu tangkis, atau mengikuti senam pagi yg diadakan pagi2 sekitar jam 6 lebih atau jam 7.. Kalau aku kesana biasanya ngincar makanannya sie, banyak yg jualan kupat tahu, lontong kari, pecel, sate, soto, bakso, mie ayam dll.. Jajanan juga melimpah bangetttt, bikin kalap kalau kesana pengin serba dibeli.."
ujang jujun,4.0,6 bulan lalu,"Stadion bagus, akses dari jl gede bade ada jembatan kayu yg bolong2.., takut jatuh.. (mesti dperbaiki tuh jembatan) dekat AlJabbar.. Akses dari jl Cimencrang jalan kurang lebar.."
dee nee93,4.0,5 tahun lalu,"Hari minggu olahraga pagi disini ok. Mau belanja bisa, sekedar selfi bolehlah, cari sarapan ada.. Meski penuh dan pengaturan arus motor dan mobil serta pejalan kaki tidak ada batasan atau alur nya, tapi masih ok lah gak berdesakan..."
Hendra_737,5.0,2 tahun lalu,"Stadion sepakbola kebanggaan masyarakat Jawa Barat khususnya bagi BOBOTOH warga Bandung Raya dan sekitarnya.. mantap bisa buat jogging ataupun sekedar jalan2 pagi atau sore dan disaat libur, udaranya sejuk pemandangan alamnya ok, plus dekat ke Mesjid Raya Al Jabbar, mudah diakses dari arah tol Padaleunyi ( sangat2 direkomendasikan 👍👍👍🙏 )"
Shafa,4.0,3 bulan lalu,Saya sering menonton Persib disini. Tempat nyaman saja. Kamar mandi harus sedikit di bersihkan lagi.
General Archareux,5.0,4 bulan lalu,"Tempatnya sejuk, bersih & tertata. Untuk lahan parkir nya kurang efisien, karena dipisah jadi beberapa blok yang alhasil ketika ramai susah keluar karena macet."
aditya santoso,5.0,setahun lalu,Bisa jadi alternatif hiburan keluarga dan sklian memperkenalkan tim Maung Bandung....
usep kp,5.0,5 bulan lalu,Stadion kebanggaan warga jawa barat dan menjadi markas persib bandung
Neyou Javindra,3.0,setahun lalu,"Hari Minggu ke sini niatnya mau olah raga, eh ternyata gak boleh masuk. Pintu dijaga sekuriti. Mau olah raga, dia bilang di luar saja. Sementara di luar di sekitar stadion jalanan penuh dengan pedagang pasar kaget dan parkir kendaraan. Sayang sekali... Padahal kalau bisa difungsikan untuk track lari atau jalan, atau sepedaan seperti di GBK Jakarta atau Stadion Manahan Solo tentu GBLA akan lebih berfungsi. Semoga Pemda atau pengelolanya memperhatikan."
eti Rohaeti,5.0,4 tahun lalu,"Asyik jg buat olah raga ringan spt jln kaki dll, stl olah raga cape jgn khawatir byk bgt jajanan untuk mengenyangkan isi perut, jg di jual sgl mcm sayuran mentah, jaket, sepatu dan msh byk lg...."
Iqbal Jabbari Mufti,4.0,8 tahun lalu,"Tempat parkir nya masig kurang aman, membuat banyak penonton parkir di perumahan yg ada di samping GBLA. Jalan penghubung perumahan sama GBLA nya melewati sungai dan jembatannya sangat tidak layak. Stadionnya megah namun seperti belum siap digunakan, fasilitas yoilet tidak mencukupi. Kemegahan stadion ini sedikit banyak berbandibg terbalik dengan prilaku penonton yg tidak tertid ditambah tidak adanya fasilitas tempat sampah menjadikan tempat yg megah ini dipenuhi sampah"
Sylvia Nabilasari Saragih,4.0,7 tahun lalu,"Pertama kali kesini. Padalarang-Gedebage 1jam 45menit. Lokasi agak jauh dari jalan  raya besar. Tapi dekat dengan jalan tol. Saya agak kecewa karena kotornya daerah pintu sampai lantai dekat tangga menuju tribun. Benar2 kotor. Toiletnya juga kotor, toilet tidak semua bisa dipakai karena tidak adanya air. Keran air untuk wudhu pun banyak yg rusak. Semoga bisa ada solusi ya. Soalnya sayang banget kalau engga segera di atasi. 🙏"
Imam Firdaus,4.0,4 bulan lalu,"Bawa si bungsu nonton klub kesayangan... Masuk pintul timur. Stadion yg mewah, sayang dikamar mandinya ga ada air. Kalo pun ada kecil banget"
yudi marlyandi,5.0,2 bulan lalu,Tempat melepas stres kerjaan dengan cara gogorowokan 👍
Eva Herliyanti,5.0,11 bulan lalu,Stadion GBLA kebanggan warga bandung.. Stadionnya bisa menampung penonton cukup banyak.. Ke GBLA nonton pertandingan PERSIB dan cukuk kondusif nonton bersama anak
Michael 19,5.0,3 tahun lalu,"Untuk bagian interior nya mungkin harus ada perbaikan lagi, akses menuju GBLA nya juga oke, semoga bisa secepatnya dikelola Persib"
Roni Yulianus Nurak,4.0,4 bulan lalu,Saya bersepeda kesana. Bahus tapi pintu masuk nya nggak jelas dan kurang area terbuka di sekitar stadion
Hisnu Nursulaiman,5.0,5 bulan lalu,"Pengalaman disini banyak dan beragam, mulai dari motoran sebelum banyak poldur, nge date, nyoride, hingga nongkrong bareng kerabat. Pokoknya memoriable lah tempatnya"
Buky Hamdi,4.0,setahun lalu,Wah kalah pas PERSIb lawan DEwa tapi memang indah nyaman suasana luar dan dalam stasion
Ikbal Lukmanul Hakim,5.0,4 bulan lalu,Stadion yang megah dan luar biasa
Fikri Faisal Adli,5.0,4 bulan lalu,Keren tempatnya deket masjid Al Jabbar dan stasiun Kereta Api cepat Tegalluar lagi. Mantul banget...
satria adi,5.0,2 tahun lalu,"Bagus untuk olahraga, weekend selalu ramai oleh pasar tumpah tpi fasilitas toilet umum blm ada"
Priyanto Priyanto,4.0,Diedit 6 tahun lalu,"Nih bagi kalian yg dekat sama Stadion GBLA ,ga salahnya coba beraktivitas disekitar stadion,mau main batminton ,joging,mau guling"" pun bisa. Haha Kalo hari Minggu, rame bgt sumpah deh, mau mkn,beli pakaian, mau lihat cewe cantik,cowo ganteng bisa. Haha. .atau yang mau belanja juga bnyak pilihan dipasar minggunya."
Meylan N.A,5.0,setahun lalu,"Belum pernah masuk stadionnya. Hanya olahraga diluar stadionnya di hari minggu. Sekalian jajan di pasar minggu GBLA. Minggu kemarin jogging + main badminton (nyewa 2 raket 1 kok) dengan harga Rp.10.000. Tempat joggingnya nyaman, cuma perlu hati-hati kalau minggu karena melalui banyak orang, dan lalu lalang kendaran dan juga bis pariwisata yang akan atau setelah dari masjid Al-Jabbar."
Herry Irawan (Akang ei),5.0,3 tahun lalu,Selain sarana olah raga juga sebagai pasar dan kuliner murah meriah tapi hanya hari minggu pull pedagang segala ada.setelah puas belanja anda bisa lanjut ke masjid al Jabbar alias mesjid terapung. Yg jaraknya tidak terlalu jauh dari GBLA.
Jilan Febiananda,4.0,2 tahun lalu,"For the first time dateng ke GBLA yaa so so banyak kotor2nya tp enak bgt buat tempay sholatnya jadi ga bingung dan ga perlu jauh2 cari mushola karena tiap gate dikasih tempat buat sholat, cuma emang kurang bersih dan air wudhunya aga aga gimana gitu..."
syauqy Mochammad Geraldine,5.0,11 bulan lalu,"Untuk saat ini stadion Gelora Bandung lautan amat cukup baik , Dari segala fasilitas dan kelengkapan udah segala ada hanya saja untuk toilet masih harus di upgrade ulang"
Wahyu Anggara,5.0,setahun lalu,Deket Aljabar. Sekalian Mampir dan sholat... Stadion GBLA juga lebih Tertib..  JUARAKEUN PERSIB TAHUN 2024 INI...
ardi sukardi,5.0,5 bulan lalu,"Vbu nyaman dan bocil friendly, tapi geleuh banyak guard yang nonton dan berdiri di depan kursi penonton.. Ngaharalangan euyyy"
Iman Supriyadi,3.0,Diedit 3 tahun lalu,"Sayang ya, stadion yg dibangun dengan APBD sudah lama vakum dan tidak dapat dimanfaatkan, dan seiring waktu akan semakin rusak kalau tidak ada kegiatan pemeliharaan. Tapi katanya sekarang pengelolaan sudah disetujui oleh pemerintah daerah setempat untuk dikerjasamakan dengan klub terbesar di kota bandung (persib). Saya blm pernah mengunjungi GBLA lagi setelah pengelolaannya dilakukan oleh manajemen klub tersebut, semoga saja bisa segera dimanfaatkan sesuai peruntukannya."
Rafli Nugraha,5.0,2 bulan lalu,nontonn tim kebanggaann💙🤘
Indah Luthfikasari,3.0,6 tahun lalu,Antara rekomended dan tidak. Kalo buat olahraga pagi mayan lah muterin GBLa. Tp gabisa kalo muterin di dalemnya gabolehin. Gatau jg kenapa. Mungkin karena pengamanannya masih kurang jd takut kalo org2 masuk ke lapangan.. Tp mayan lahh..
karazirgi asaku,5.0,2 tahun lalu,Saat Pertandingan Tiket Parkir naik 5x lipat dari harga tertera ...konsep kantin dalam stadion sudah ok tuh tinggal tambah menu aja sih...wc masih perlu perawatan
Adhitya F.,2.0,4 bulan lalu,"benerin rumputnya, ngeluarin duit buat benerin rumputnya gabisa, beli beli pemain bisa sampe miliar miliaran malu"
Wiwik Haryanti,5.0,2 tahun lalu,"Ada pasar kaget, ada banyak jajanan, segala ada di tempat olahraga ini.. tak lupa ikutin senam pagi yang lumayan bisa bikin kita berkeringat tapi happy xixi..."
Dhe Hasan,5.0,2 bulan lalu,Puas nontonya d vip barat
